"status_id","created_at","user_id","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","senator"
"x966680005123166208",2018-02-22 14:24:07,"x171598736","SenBobCasey","The students from Parkland are an inspiration. We must take action on commonsense gun safety- universal background checks, banning military-style assault weapons, limiting magazines and banning those on the terror watchlist from purchasing firearms.","Twitter for iPhone",249,,,,FALSE,FALSE,3588,813,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x966092194024181761",2018-02-20 23:28:22,"x171598736","SenBobCasey","So by ""taking care of pre-existing conditions"" you meant eliminating their coverage? Because that's what your new plans will do.

""Trump Pushes Insurance that doesn’t Cover Pre-existing Conditions""
https://t.co/MxZigJ8xUL https://t.co/C3NT2IUAo0","Twitter Web Client",221,,,,FALSE,FALSE,716,463,,,"nbcnews.com/politics/white… twitter.com/realDonaldTrum…","https://t.co/MxZigJ8xUL https://t.co/C3NT2IUAo0","https://www.nbcnews.com/politics/white-house/trump-pushes-insurance-doesn-t-cover-pre-existing-conditions-n849611 https://twitter.com/realDonaldTrump/status/858660413873025024",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x966053059464974337",2018-02-20 20:52:52,"x171598736","SenBobCasey","Thanks for having me, so good to be back! https://t.co/RdYxCbtcd1","Twitter for iPhone",41,,,,TRUE,FALSE,109,17,,,"twitter.com/thegesuschool/…","https://t.co/RdYxCbtcd1","https://twitter.com/thegesuschool/status/966052412514500609",,,,,,,,,,,"en","x966052412514500609","Thanks @SenBobCasey for visiting Gesu School! Sen Casey taught grade 5 in 1982 &amp; 83 and coached basketball. Today he visited his former classroom, met with students, &amp; reunited with a former Gesu basketball player. We thank him for his service to children across PA! https://t.co/gDCJI9htmG",2018-02-20 20:50:18,,46,5,"x550579939","TheGesuSchool","Gesu School",472,368,1245,"Philadelphia, PA","An independent Catholic school in the Jesuit and IHM traditions transforming the lives of students Pre-K through 8th grade in North Philadelphia.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x965978147849146368",2018-02-20 15:55:12,"x171598736","SenBobCasey","50 years ago this week was the first national broadcast of “Mr. Rogers' Neighborhood,” from @WQED Pittsburgh. In 1969, Mr. Rogers testified before the Senate to save funding for public broadcasting; we could use him today. https://t.co/jLFNqVRAMO","Media Studio",222,,,,FALSE,FALSE,2337,791,,,,,,"http://pbs.twimg.com/amplify_video_thumb/842388216976179200/img/htYrKJU8jshclYNh.jpg","https://t.co/jLFNqVRAMO","https://twitter.com/SenBobCasey/status/965978147849146368/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/842388216976179200/img/htYrKJU8jshclYNh.jpg","https://t.co/jLFNqVRAMO","https://twitter.com/SenBobCasey/status/965978147849146368/video/1",,"x17194346","wqed","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x965975090256056320",2018-02-20 15:43:03,"x171598736","SenBobCasey","The Administration’s health care scheme: junk insurance, higher premiums &amp; few consumer protections.  https://t.co/fDugFIVpMU","Twitter Web Client",129,,,,FALSE,FALSE,213,185,,,"money.cnn.com/2018/02/20/new…","https://t.co/fDugFIVpMU","http://money.cnn.com/2018/02/20/news/economy/trump-obamacare-short-term-health-insurance/index.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964972594352066560",2018-02-17 21:19:29,"x171598736","SenBobCasey","RT @DailyCollegian: PA @SenBobCasey takes the stage to send a message to the #THON2018 dancers: ""If you’re a dancer, give yourself a hand.…","Twitter for iPhone",139,,,,FALSE,TRUE,0,11,"THON2018",,,,,,,,,,,,,"x16084829 171598736","DailyCollegian SenBobCasey","en",,,,,,,,,,,,,,,,"x964972503104966656","PA @SenBobCasey takes the stage to send a message to the #THON2018 dancers: ""If you’re a dancer, give yourself a hand. We want to thank you today for what you’re doing for children.""",2018-02-17 21:19:07,,50,"x16084829","DailyCollegian","The Daily Collegian",56162,3398,56903,"State College, Pa.","Independent student newspaper bringing you the latest from the Penn State community since 1887. Got news? Tweet at us.",TRUE,,,,,,,,,,"Casey"
"x964926431309586432",2018-02-17 18:16:03,"x171598736","SenBobCasey","Congratulations to proud Pittsburgher @Real_JohnHenry on claiming <f0><U+009F><U+00A5><U+0088> in the 1,000m Short Track! We’ll be waving our terrible towels on Thursday for the relay! #Olympics","Twitter for iPhone",167,,,,FALSE,FALSE,292,51,"Olympics",,,,,,,,,,,,,"x895449154259828737","Real_JohnHenry","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964917370610507777",2018-02-17 17:40:03,"x171598736","SenBobCasey","RT @jdprose: New: @SenBobCasey hearing on steel imports gets administration response via @bctimes https://t.co/osSjPIUaF8","Twitter for iPhone",121,,,,FALSE,TRUE,0,17,,,"timesonline.com/news/20180216/…","https://t.co/osSjPIUaF8","http://www.timesonline.com/news/20180216/casey-hearing-on-steel-imports-gets-administration-response",,,,,,,,,"x52541572 171598736 16203795","jdprose SenBobCasey bctimes","en",,,,,,,,,,,,,,,,"x964906518993932288","New: @SenBobCasey hearing on steel imports gets administration response via @bctimes https://t.co/osSjPIUaF8",2018-02-17 16:56:55,,19,"x52541572","jdprose","J.D. Prose",1846,739,51404,"Pittsburgh","Purveyor of snark. Newspaper dinosaur. Terp for life. I'd beg for some forgiveness, but begging's not my business.",FALSE,,,,,,,,,,"Casey"
"x964713309911109632",2018-02-17 04:09:11,"x171598736","SenBobCasey",".@Adaripp your infectious spirit and positive attitude have been an inspiration- Pennsylvania is proud of you! #Olympics","Twitter for iPhone",120,,,,FALSE,FALSE,5347,675,"Olympics",,,,,,,,,,,,,"x31339831","Adaripp","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964635173542350850",2018-02-16 22:58:42,"x171598736","SenBobCasey","Casey hearing on steel imports gets administration response https://t.co/tAGE9K4Ivq","Twitter Web Client",83,,,,FALSE,FALSE,76,37,,,"timesonline.com/news/20180216/…","https://t.co/tAGE9K4Ivq","http://timesonline.com/news/20180216/casey-hearing-on-steel-imports-gets-administration-response",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964603174878433280",2018-02-16 20:51:33,"x171598736","SenBobCasey","The Administration also needs to take steps to protect our democracy in future elections. Thus far, the Administration has done next to nothing to strengthen our defenses","Twitter for iPhone",170,"x964602922544893952","x171598736","SenBobCasey",FALSE,FALSE,184,56,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964602922544893952",2018-02-16 20:50:32,"x171598736","SenBobCasey",".@realDonaldTrump’s policy of weakness towards Russia is making our nation less safe. It’s far past time for this Administration to protect our citizens from Russian aggression and implement tough sanctions.","Twitter for iPhone",207,"x964602518075531264","x171598736","SenBobCasey",FALSE,FALSE,543,224,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964602518075531264",2018-02-16 20:48:56,"x171598736","SenBobCasey","Congress passed legislation to hold Russia accountable for its attack on our nation. @realDonaldTrump has refused to implement these sanctions","Twitter for iPhone",142,"x964602274608762881","x171598736","SenBobCasey",FALSE,FALSE,212,80,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964602274608762881",2018-02-16 20:47:58,"x171598736","SenBobCasey","It’s time for @realDonaldTrump &amp; Congressional Rs to stop the disgraceful attacks on law enforcement &amp; end their obstruction of the Mueller investigation","Twitter for iPhone",161,"x964601969062105088","x171598736","SenBobCasey",FALSE,FALSE,178,58,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964601969062105088",2018-02-16 20:46:45,"x171598736","SenBobCasey","Rs in Congress &amp; @realDonaldTrump have spent months attacking our law enforcement officers and disparaging this investigation as a “witch hunt”","Twitter for iPhone",147,"x964601772479336449","x171598736","SenBobCasey",FALSE,FALSE,158,52,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964601772479336449",2018-02-16 20:45:58,"x171598736","SenBobCasey","Today’s indictments make clear the serious nature of Russia’s attack on our nation during the 2016 election","Twitter for iPhone",107,,,,FALSE,FALSE,821,206,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964514204505001984",2018-02-16 14:58:00,"x171598736","SenBobCasey","Talking trade and infrastructure with @RonWyden in Beaver Co. We're hosting a @SenateFinance Subcommittee field hearing on trade enforcement with local leaders. Watch live https://t.co/etnSHPwJYP","Twitter Web Client",195,,,,FALSE,FALSE,53,20,,,"youtube.com/watch?v=wiKP5L…","https://t.co/etnSHPwJYP","https://www.youtube.com/watch?v=wiKP5L_3a5s",,,,,,,,,"x250188760 628709039","RonWyden SenateFinance","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964350158946340864",2018-02-16 04:06:09,"x171598736","SenBobCasey","Well done @Adaripp, you make Pennsylvania and your country proud! https://t.co/hyFrn9GZJr","Twitter for iPhone",65,,,,TRUE,FALSE,1375,169,,,"twitter.com/nbcolympics/st…","https://t.co/hyFrn9GZJr","https://twitter.com/nbcolympics/status/964346061023338496",,,,,,,,,"x31339831","Adaripp","en","x964346061023338496","ADAM. https://t.co/8scK7Qu5xb",2018-02-16 03:49:52,,10567,1633,"x14955353","NBCOlympics","NBC Olympics",994228,3014,29207,"","The official home of NBC's coverage of the PyeongChang 2018 #WinterOlympics beginning Feb 8th LIVE on NBC.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964246517283545091",2018-02-15 21:14:19,"x171598736","SenBobCasey","Congressional Republicans and @realDonaldTrump have, once again, betrayed the Dreamers, some of whom are serving in our military right now, and broken faith with the values of our nation, while failing to support effective border security.","Twitter Web Client",239,"x964246346394980352","x171598736","SenBobCasey",FALSE,FALSE,209,70,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964246346394980352",2018-02-15 21:13:38,"x171598736","SenBobCasey","That legislation would have secured the border, addressed the problem of illegal immigration and provided a fair pathway to citizenship for law-abiding immigrants. That’s how we will fix our immigration system.","Twitter Web Client",210,"x964246215784267776","x171598736","SenBobCasey",FALSE,FALSE,146,39,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964246215784267776",2018-02-15 21:13:07,"x171598736","SenBobCasey","In 2013, I voted for a bipartisan, comprehensive reform of our immigration system, which achieved 68 votes in the Senate.","Twitter Web Client",121,"x964245996766187520","x171598736","SenBobCasey",FALSE,FALSE,91,32,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964245996766187520",2018-02-15 21:12:15,"x171598736","SenBobCasey","It’s clear that Congressional Republicans and @realDonaldTrump don’t care about the Dreamers or securing our border. They blow hot air about these young people but don’t act. Their only plan is to deport eleven million people, which is unworkable and unrealistic.","Twitter Web Client",263,"x964245781233401857","x171598736","SenBobCasey",FALSE,FALSE,141,61,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964245781233401857",2018-02-15 21:11:23,"x171598736","SenBobCasey","Many Republicans in Congress and President Trump created the Dreamers crisis. Now, they have torpedoed every bipartisan proposal, even one that funds President Trump’s border wall, to solve the mess they created.","Twitter Web Client",212,,,,FALSE,FALSE,710,353,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964223222416855040",2018-02-15 19:41:45,"x171598736","SenBobCasey","RT @ChrisVanHollen: We should be making it easier for people with disabilities to lead independent lives, not harder. #HR620 will turn back…","Twitter for iPhone",140,,,,FALSE,TRUE,0,271,"HR620",,,,,,,,,,,,,"x18137749","ChrisVanHollen","en",,,,,,,,,,,,,,,,"x964213073270669314","We should be making it easier for people with disabilities to lead independent lives, not harder. #HR620 will turn back the clock for some of our most vulnerable populations, and every House member who voted for this should be ashamed. I will fight this in the Senate. https://t.co/JOv5TXNltL",2018-02-15 19:01:25,,451,"x18137749","ChrisVanHollen","Chris Van Hollen",117144,484,3493,"Maryland, USA","U.S. Senator for Maryland",TRUE,,,,,,,,,,"Casey"
"x964221876468965382",2018-02-15 19:36:24,"x171598736","SenBobCasey","#DisabilityRightsAreCivilRights https://t.co/gpEHkdoVHi","Twitter Web Client",31,,,,TRUE,FALSE,186,82,"DisabilityRightsAreCivilRights",,"twitter.com/SenDuckworth/s…","https://t.co/gpEHkdoVHi","https://twitter.com/SenDuckworth/status/964159619127042048",,,,,,,,,,,"und","x964159619127042048","THREAD on #HR620 <U+2193>

Ever since I lost my legs when an RPG tore thru the cockpit of my Blackhawk I was flying over Iraq, getting around has been difficult—even w/the #ADA, I can’t always enter public spaces &amp; have to spend a lot of time planning how to get frm 1 place to the next",2018-02-15 15:29:01,,12132,7262,"x1058520120","SenDuckworth","Tammy Duckworth",374924,7277,3678,"","Official Twitter account for Tammy Duckworth's Senate office. Posts by staff unless signed - TD. For more information, visit",TRUE,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964204695148548098",2018-02-15 18:28:08,"x171598736","SenBobCasey","That’s a long time to wait for a meal in a restaurant, to fill a prescription or to get a haircut.","Twitter Web Client",98,"x964204693831299072","x171598736","SenBobCasey",FALSE,FALSE,262,127,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964204693831299072",2018-02-15 18:28:07,"x171598736","SenBobCasey","The bill makes it more difficult to file a complaint and would make a person with a disability wait up to 180 days or more to gain access to services.","Twitter Web Client",150,"x964204692283764737","x171598736","SenBobCasey",FALSE,FALSE,224,157,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964204692283764737",2018-02-15 18:28:07,"x171598736","SenBobCasey","This bill removes the need for a business or any organization that offers its services to the public to make those services accessible until a complaint is filed.","Twitter Web Client",162,"x964204690757029888","x171598736","SenBobCasey",FALSE,FALSE,177,125,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964204690757029888",2018-02-15 18:28:06,"x171598736","SenBobCasey","H.R. 620 will make it more difficult for people with disabilities to gain entrance to local stores, attend a play, or use a web site.","Twitter Web Client",133,"x964192583437123594","x171598736","SenBobCasey",FALSE,FALSE,202,154,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964192583437123594",2018-02-15 17:40:00,"x171598736","SenBobCasey","Today the House passed H.R. 620 which guts the Americans with Disabilities Act and strips away the rights of people with disabilities. We will fight to protect those rights in the Senate #DisabilityRightsAreCivilRights #HandsOffMyADA","Twitter Web Client",233,,,,FALSE,FALSE,4421,3513,"DisabilityRightsAreCivilRights HandsOffMyADA",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964152736806825986",2018-02-15 15:01:40,"x171598736","SenBobCasey","These measures can reduce the likelihood of a mass shooting and the members of Congress who set the agenda on the floors of the House and Senate should act.","Twitter Web Client",156,"x964152693655818241","x171598736","SenBobCasey",FALSE,FALSE,182,37,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964152693655818241",2018-02-15 15:01:29,"x171598736","SenBobCasey","Congress should have votes on measures to reduce gun violence, including universal background checks, a ban on military-style weapons and a prohibition of those on the terror watchlist from purchasing firearms.","Twitter Web Client",210,"x964152636952993793","x171598736","SenBobCasey",FALSE,FALSE,367,90,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964152636952993793",2018-02-15 15:01:16,"x171598736","SenBobCasey","America is a great nation and I refuse to believe there’s nothing we can do to reduce the likelihood of mass shootings.","Twitter Web Client",119,"x964152559240916992","x171598736","SenBobCasey",FALSE,FALSE,125,28,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x964152559240916992",2018-02-15 15:00:57,"x171598736","SenBobCasey","In the wake of yet another school shooting, the 18th of this year, we should pray for the victims and their families but those of us in public office are obligated to act to reduce gun violence.","Twitter Web Client",194,,,,FALSE,FALSE,756,156,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x963921370424979456",2018-02-14 23:42:18,"x171598736","SenBobCasey","I pray for the families whose lives have been shattered by yet another school shooting –18th of 2018. Congress must do its part to confront these senseless tragedies. Inaction is unacceptable.","Twitter Web Client",192,,,,FALSE,FALSE,2613,622,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x963877636685598721",2018-02-14 20:48:31,"x171598736","SenBobCasey","It is about time Congress listen to the nearly eighty-percent of Americans who want us to pass protections for Dreamers. https://t.co/FARZsJK4RU","Twitter Web Client",144,,,,FALSE,FALSE,525,121,,,"facebook.com/SenatorBobCase…","https://t.co/FARZsJK4RU","https://www.facebook.com/SenatorBobCasey/videos/1593722920680855/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x963839656507912193",2018-02-14 18:17:36,"x171598736","SenBobCasey","RT @MC3Veterans: Had the opportunity to speak in front of several US Senators today about veterans issues. Thanks for the invite @SenBobCas…","TweetDeck",140,,,,FALSE,TRUE,0,13,,,,,,,,,,,,,,"x3819538636","MC3Veterans","en",,,,,,,,,,,,,,,,"x963833942246875136","Had the opportunity to speak in front of several US Senators today about veterans issues. Thanks for the invite @SenBobCasey! @mccc @pacommunitycoll https://t.co/lkuMmnXq53",2018-02-14 17:54:53,,42,"x3819538636","MC3Veterans","MontCo Veterans",136,116,263,"Blue Bell, PA","",FALSE,,,,,,,,,,"Casey"
"x963481527823814656",2018-02-13 18:34:31,"x171598736","SenBobCasey","One worker said of the Administration, “They’ve sat on this for far too long.” He’s right. It’s time for the Administration to put our workers first.”","Twitter Web Client",150,"x963481491987746816","x171598736","SenBobCasey",FALSE,FALSE,82,21,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x963481491987746816",2018-02-13 18:34:22,"x171598736","SenBobCasey","Steel executives wrote the President this month telling him that “now is the time for Presidential action to prevent excess steel capacity and surging steel imports from undermining our national security and the viability of the U.S. steel industry.”","Twitter Web Client",250,"x963481403693457409","x171598736","SenBobCasey",FALSE,FALSE,64,19,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x963481403693457409",2018-02-13 18:34:01,"x171598736","SenBobCasey","In Conshohocken, Arcelor Mittal announced they were laying off almost 200 steelworkers last year because they are being harmed by unfair trade practices.","Twitter Web Client",153,"x963481280196333568","x171598736","SenBobCasey",FALSE,FALSE,32,13,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x963481280196333568",2018-02-13 18:33:32,"x171598736","SenBobCasey","AK Steel in Butler, Pennsylvania is the only domestic producer of electrical steel. When Hurricane Sandy hit, they helped repair our damaged grid. Now, they need our help to guard against trade cheating.","Twitter Web Client",203,"x963481116803035136","x171598736","SenBobCasey",FALSE,FALSE,52,21,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
